기준_년_코드,기준_분기_코드,상권_코드,상권_중앙위경도_값,버스정류장_수,지하철역_수,상권_코드_명
2020,1,2110949,"37.520855545263544, 127.01942289119167",2,0,한남IC
2020,1,2110951,"37.52087242965624, 127.02540700249948",4,0,신사은행나무공원
2020,1,2110952,"37.5113305986889, 127.02633124285852",2,1,논현목련공원
2020,1,2110954,"37.50250921505765, 127.02866917807879",4,1,국기원
2020,1,2110955,"37.50909540147428, 127.02932769615451",2,1,논현초등학교
2020,1,2110957,"37.51779849799859, 127.03166130118623",6,1,언북중학교
2020,1,2110958,"37.5032290671925, 127.03235633361939",0,2,역삼역 4번
2020,1,2110959,"37.525411777447985, 127.03237722460005",4,1,신구중학교
2020,1,2110960,"37.48733482260059, 127.03407945616239",3,0,은광여고
2020,1,2110961,"37.511076260927844, 127.03433908142084",11,2,언주역 3번
2020,1,2110963,"37.49237962946542, 127.03686347002896",6,0,역삼월드메르디앙아파트
2020,1,2110965,"37.5062728314113, 127.03785426242342",9,1,언주역 6번
2020,1,2110966,"37.51878774810336, 127.03795107793988",11,1,논현2동주민센터
2020,1,2110967,"37.50439861327024, 127.03824915298691",2,1,역삼역 8번
2020,1,2110971,"37.507217264689004, 127.04261627038929",11,1,선정릉역 4번
2020,1,2110972,"37.494594100718025, 127.04281264335714",19,0,강남세브란스병원미래의학연구센터
2020,1,2110974,"37.51359558431378, 127.04475767819501",4,1,언주중학교
2020,1,2110975,"37.48725902172483, 127.04517162847172",7,1,매봉역 1번
2020,1,2110976,"37.52171331120836, 127.04557700798111",9,0,언북초등학교
2020,1,2110977,"37.477338239228565, 127.04690671040551",22,0,논현로18길
2020,1,2110980,"37.4808246207884, 127.04820908778728",13,0,개포지구대옆
2020,1,2110981,"37.47550836944001, 127.04892921001091",9,0,국악고교사거리
2020,1,2110983,"37.47772434054866, 127.05015165991955",20,0,국립국악고등학교
2020,1,2110984,"37.4736959569425, 127.05216125750721",12,0,포이초등학교(개포목련어린이공원)
2020,1,2110985,"37.523026010525676, 127.0522521435632",3,1,청담근린공원
2020,1,2110988,"37.51816864142927, 127.05438666812174",8,1,청담역 3번
2020,1,2110989,"37.50279748516958, 127.05443206338535",4,0,대치동아우편취급국
2020,1,2110992,"37.4999043020278, 127.05646557351078",6,0,도곡초등학교
2020,1,2110994,"37.48313403328187, 127.0615182258128",14,1,개포고등학교
2020,1,2110995,"37.51722762128031, 127.06242850425231",2,1,봉은사역 4번
2020,1,2110996,"37.50178366723011, 127.06380667872182",10,0,대치2동주민센터
2020,1,2110997,"37.49220195577839, 127.08454831021591",19,1,대청초등학교
2020,1,2110999,"37.471724786298864, 127.10370931049309",10,0,윗방죽마을공원
2020,1,2111000,"37.46366702265568, 127.10677272709853",16,0,대왕초등학교(세곡동사거리서남측)
2020,1,2111002,"37.469565171958735, 127.11979244528801",6,0,한국교통안전공단 강남자동차검사소
2020,1,2120185,"37.510691750707316, 127.02211217405002",6,1,논현역
